=== MEDIAS APOS 10 ITERACOES ===
Acuracia media : 0.9815
Precisao media : 0.9748
Revocacao media: 0.9786
F1-Score medio : 0.9749

=== MEDIA DAS METRICAS POR CLASSE (10 iteracoes) ===
========== Dimensao das imagens: 64 x 64 ==========
=============== Com Data Augmentation no Treino ==============
Classe  | Precisao  | Revocacao | F1-Score  | Suporte  
0       | 1.00      | 1.00      | 1.00      | 650      
1       | 0.99      | 1.00      | 1.00      | 200      
2       | 0.93      | 0.97      | 0.95      | 70       
3       | 0.99      | 0.96      | 0.98      | 300      
4       | 0.99      | 0.97      | 0.98      | 330      
5       | 0.88      | 1.00      | 0.94      | 80       
6       | 0.97      | 0.97      | 0.97      | 60       
7       | 1.00      | 1.00      | 1.00      | 130      
8       | 1.00      | 0.85      | 0.90      | 20       
9       | 0.99      | 0.95      | 0.97      | 730      
10      | 0.94      | 0.99      | 0.96      | 70       
11      | 0.99      | 1.00      | 1.00      | 190      
12      | 0.89      | 0.98      | 0.94      | 190      
13      | 1.00      | 0.98      | 0.99      | 100      
14      | 0.99      | 0.99      | 0.99      | 740      
15      | 0.99      | 0.97      | 0.98      | 410      
16      | 1.00      | 0.99      | 0.99      | 440      
17      | 0.97      | 0.96      | 0.96      | 70       
18      | 0.95      | 0.99      | 0.97      | 250      
19      | 1.00      | 1.00      | 1.00      | 40       
20      | 1.00      | 0.98      | 0.99      | 160      
21      | 0.97      | 0.98      | 0.97      | 170      
22      | 0.95      | 0.99      | 0.97      | 240      
23      | 1.00      | 1.00      | 1.00      | 210      
24      | 0.97      | 1.00      | 0.99      | 100      
