=== MEDIAS APOS 10 ITERACOES ===
Acuracia media : 0.9556
Precisao media : 0.9348
Revocacao media: 0.9319
F1-Score medio : 0.9300

=== MEDIA DAS METRICAS POR CLASSE (10 iteracoes) ===
========== Dimensao das imagens: 64 x 64 ==========
=============== Com Data Augmentation no Treino ==============
Classe  | Precisao  | Revocacao | F1-Score  | Suporte  
0       | 1.00      | 0.99      | 0.99      | 650      
1       | 0.94      | 0.97      | 0.96      | 200      
2       | 0.82      | 0.96      | 0.88      | 70       
3       | 0.94      | 0.94      | 0.94      | 300      
4       | 0.97      | 0.93      | 0.95      | 330      
5       | 0.96      | 0.93      | 0.94      | 80       
6       | 1.00      | 0.92      | 0.95      | 60       
7       | 1.00      | 1.00      | 1.00      | 130      
8       | 0.58      | 0.45      | 0.49      | 20       
9       | 0.98      | 0.95      | 0.96      | 730      
10      | 0.91      | 0.94      | 0.92      | 70       
11      | 0.99      | 1.00      | 1.00      | 190      
12      | 0.80      | 0.91      | 0.85      | 190      
13      | 1.00      | 1.00      | 1.00      | 100      
14      | 0.95      | 0.98      | 0.96      | 740      
15      | 0.96      | 0.94      | 0.95      | 410      
16      | 0.97      | 0.95      | 0.96      | 440      
17      | 0.98      | 0.89      | 0.93      | 70       
18      | 0.93      | 0.98      | 0.95      | 250      
19      | 0.83      | 0.95      | 0.88      | 40       
20      | 0.99      | 0.94      | 0.97      | 160      
21      | 0.94      | 0.89      | 0.92      | 170      
22      | 0.93      | 0.88      | 0.90      | 240      
23      | 1.00      | 1.00      | 1.00      | 210      
24      | 1.00      | 1.00      | 1.00      | 100      
