=== MEDIAS APOS 10 ITERACOES ===
Acuracia media : 0.9813
Precisao media : 0.9796
Revocacao media: 0.9623
F1-Score medio : 0.9681

=== MEDIA DAS METRICAS POR CLASSE (10 iteracoes) ===
========== Dimensao das imagens: 16 x 16 ==========
=============== Sem Data Augmentation ==============
Classe  | Precisao  | Revocacao | F1-Score  | Suporte  
0       | 0.99      | 1.00      | 1.00      | 650      
1       | 0.97      | 1.00      | 0.99      | 200      
2       | 0.97      | 0.96      | 0.96      | 70       
3       | 1.00      | 0.94      | 0.97      | 300      
4       | 0.98      | 1.00      | 0.99      | 330      
5       | 1.00      | 1.00      | 1.00      | 80       
6       | 1.00      | 0.92      | 0.95      | 60       
7       | 1.00      | 0.96      | 0.98      | 130      
8       | 0.90      | 0.60      | 0.70      | 20       
9       | 0.98      | 0.97      | 0.97      | 730      
10      | 0.97      | 0.91      | 0.94      | 70       
11      | 0.99      | 1.00      | 1.00      | 190      
12      | 0.87      | 0.97      | 0.92      | 190      
13      | 1.00      | 1.00      | 1.00      | 100      
14      | 0.98      | 0.99      | 0.99      | 740      
15      | 0.97      | 0.99      | 0.98      | 410      
16      | 1.00      | 0.98      | 0.99      | 440      
17      | 0.99      | 0.94      | 0.96      | 70       
18      | 0.95      | 0.99      | 0.97      | 250      
19      | 1.00      | 1.00      | 1.00      | 40       
20      | 1.00      | 0.97      | 0.99      | 160      
21      | 1.00      | 0.98      | 0.99      | 170      
22      | 0.99      | 0.97      | 0.98      | 240      
23      | 1.00      | 1.00      | 1.00      | 210      
24      | 0.97      | 1.00      | 0.99      | 100      
