=== MEDIAS APOS 10 ITERACOES ===
Acuracia media : 0.9492
Precisao media : 0.9184
Revocacao media: 0.8706
F1-Score medio : 0.8881

=== MEDIA DAS METRICAS POR CLASSE (10 iteracoes) ===
========== Dimensao das imagens: 16 x 16 ==========
=============== Sem Data Augmentation ==============
Classe  | Precisao  | Revocacao | F1-Score  | Suporte  
0       | 0.97      | 0.99      | 0.98      | 650      
1       | 0.90      | 0.97      | 0.93      | 200      
2       | 0.98      | 0.81      | 0.89      | 70       
3       | 0.97      | 0.97      | 0.97      | 300      
4       | 0.98      | 0.95      | 0.96      | 330      
5       | 0.90      | 0.80      | 0.84      | 80       
6       | 1.00      | 0.87      | 0.93      | 60       
7       | 1.00      | 0.96      | 0.98      | 130      
8       | 0.00      | 0.00      | 0.00      | 20       
9       | 0.92      | 0.98      | 0.95      | 730      
10      | 0.97      | 0.74      | 0.83      | 70       
11      | 1.00      | 1.00      | 1.00      | 190      
12      | 0.82      | 0.84      | 0.83      | 190      
13      | 1.00      | 1.00      | 1.00      | 100      
14      | 0.91      | 0.99      | 0.95      | 740      
15      | 0.94      | 0.98      | 0.96      | 410      
16      | 0.98      | 0.97      | 0.97      | 440      
17      | 0.98      | 0.69      | 0.79      | 70       
18      | 0.97      | 0.98      | 0.97      | 250      
19      | 0.86      | 0.60      | 0.69      | 40       
20      | 0.95      | 0.97      | 0.96      | 160      
21      | 0.97      | 0.89      | 0.93      | 170      
22      | 0.98      | 0.82      | 0.89      | 240      
23      | 1.00      | 1.00      | 1.00      | 210      
24      | 1.00      | 1.00      | 1.00      | 100      
