=== MEDIAS APOS 10 ITERACOES ===
Acuracia media : 0.9790
Precisao media : 0.9764
Revocacao media: 0.9617
F1-Score medio : 0.9663

=== MEDIA DAS METRICAS POR CLASSE (10 iteracoes) ===
========== Dimensao das imagens: 256 x 256 ==========
=============== Sem Data Augmentation ==============
Classe  | Precisao  | Revocacao | F1-Score  | Suporte  
0       | 0.99      | 1.00      | 1.00      | 650      
1       | 0.97      | 1.00      | 0.99      | 200      
2       | 0.97      | 0.96      | 0.96      | 70       
3       | 0.98      | 0.94      | 0.96      | 300      
4       | 0.99      | 0.98      | 0.98      | 330      
5       | 1.00      | 0.99      | 0.99      | 80       
6       | 1.00      | 0.90      | 0.95      | 60       
7       | 1.00      | 0.96      | 0.98      | 130      
8       | 0.90      | 0.65      | 0.73      | 20       
9       | 0.98      | 0.96      | 0.97      | 730      
10      | 0.95      | 0.91      | 0.93      | 70       
11      | 1.00      | 1.00      | 1.00      | 190      
12      | 0.88      | 0.97      | 0.93      | 190      
13      | 1.00      | 1.00      | 1.00      | 100      
14      | 0.98      | 0.99      | 0.99      | 740      
15      | 0.97      | 0.99      | 0.98      | 410      
16      | 1.00      | 0.98      | 0.99      | 440      
17      | 0.96      | 0.94      | 0.95      | 70       
18      | 0.94      | 0.99      | 0.96      | 250      
19      | 1.00      | 1.00      | 1.00      | 40       
20      | 1.00      | 0.97      | 0.99      | 160      
21      | 1.00      | 0.98      | 0.99      | 170      
22      | 0.98      | 0.97      | 0.97      | 240      
23      | 1.00      | 1.00      | 1.00      | 210      
24      | 0.96      | 1.00      | 0.98      | 100      
