=== MEDIAS APOS 10 ITERACOES ===
Acuracia media : 0.9244
Precisao media : 0.9131
Revocacao media: 0.8382
F1-Score medio : 0.8628

=== MEDIA DAS METRICAS POR CLASSE (10 iteracoes) ===
========== Dimensao das imagens: 512 x 512 ==========
=============== Sem Data Augmentation ==============
Classe  | Precisao  | Revocacao | F1-Score  | Suporte  
0       | 0.96      | 1.00      | 0.98      | 65       
1       | 0.87      | 1.00      | 0.93      | 20       
2       | 1.00      | 0.57      | 0.73      | 7        
3       | 0.93      | 0.87      | 0.90      | 30       
4       | 0.97      | 0.97      | 0.97      | 33       
5       | 1.00      | 0.50      | 0.67      | 8        
6       | 1.00      | 1.00      | 1.00      | 6        
7       | 1.00      | 1.00      | 1.00      | 13       
8       | 0.00      | 0.00      | 0.00      | 2        
9       | 0.91      | 0.99      | 0.95      | 73       
10      | 1.00      | 0.57      | 0.73      | 7        
11      | 1.00      | 1.00      | 1.00      | 19       
12      | 0.81      | 0.68      | 0.74      | 19       
13      | 1.00      | 1.00      | 1.00      | 10       
14      | 0.85      | 1.00      | 0.92      | 74       
15      | 0.93      | 0.90      | 0.91      | 41       
16      | 0.95      | 0.95      | 0.95      | 44       
17      | 1.00      | 0.71      | 0.83      | 7        
18      | 0.83      | 1.00      | 0.91      | 25       
19      | 1.00      | 0.75      | 0.86      | 4        
20      | 1.00      | 1.00      | 1.00      | 16       
21      | 0.89      | 0.94      | 0.91      | 17       
22      | 0.93      | 0.54      | 0.68      | 24       
23      | 1.00      | 1.00      | 1.00      | 21       
24      | 1.00      | 1.00      | 1.00      | 10       
