=== MEDIAS APOS 10 ITERACOES ===
Acuracia media : 0.9358
Precisao media : 0.9127
Revocacao media: 0.8594
F1-Score medio : 0.8785

=== MEDIA DAS METRICAS POR CLASSE (10 iteracoes) ===
========== Dimensao das imagens: 256 x 256 ==========
=============== Sem Data Augmentation ==============
Classe  | Precisao  | Revocacao | F1-Score  | Suporte  
0       | 0.96      | 0.99      | 0.98      | 325      
1       | 0.89      | 0.96      | 0.92      | 100      
2       | 0.94      | 0.80      | 0.86      | 35       
3       | 0.96      | 0.92      | 0.94      | 150      
4       | 0.97      | 0.94      | 0.95      | 165      
5       | 0.98      | 0.72      | 0.82      | 40       
6       | 1.00      | 0.87      | 0.92      | 30       
7       | 1.00      | 0.98      | 0.99      | 65       
8       | 0.00      | 0.00      | 0.00      | 10       
9       | 0.93      | 0.98      | 0.95      | 365      
10      | 1.00      | 0.66      | 0.78      | 35       
11      | 1.00      | 1.00      | 1.00      | 95       
12      | 0.77      | 0.78      | 0.77      | 95       
13      | 1.00      | 1.00      | 1.00      | 50       
14      | 0.87      | 0.99      | 0.93      | 370      
15      | 0.94      | 0.95      | 0.94      | 205      
16      | 0.98      | 0.96      | 0.97      | 220      
17      | 0.95      | 0.66      | 0.78      | 35       
18      | 0.93      | 0.98      | 0.95      | 125      
19      | 0.91      | 0.80      | 0.84      | 20       
20      | 0.99      | 0.95      | 0.97      | 80       
21      | 0.89      | 0.88      | 0.89      | 85       
22      | 0.97      | 0.71      | 0.81      | 120      
23      | 1.00      | 1.00      | 1.00      | 105      
24      | 1.00      | 1.00      | 1.00      | 50       
